Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Fasta headers	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	ProteasomeAnnotation	SubComplexAnnotation	GraphGroup	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS Count	LFQ intensity Col0_Minus_BR1	LFQ intensity Col0_Minus_BR2	LFQ intensity Col0_Minus_BR3	LFQ intensity Col0_Plus_BR1	LFQ intensity Col0_Plus_BR2	LFQ intensity Col0_Plus_BR3	LFQ intensity PAG1_Minus_BR1	LFQ intensity PAG1_Minus_BR2	LFQ intensity PAG1_Minus_BR3	LFQ intensity PAG1_Plus_BR1	LFQ intensity PAG1_Plus_BR2	LFQ intensity PAG1_Plus_BR3	LFQ intensity RPT4a_Minus_BR1	LFQ intensity RPT4a_Minus_BR2	LFQ intensity RPT4a_Minus_BR3	LFQ intensity RPT4a_Plus_BR1	LFQ intensity RPT4a_Plus_BR2	LFQ intensity RPT4a_Plus_BR3	LFQ intensity RPT4b_Minus_BR1	LFQ intensity RPT4b_Minus_BR2	LFQ intensity RPT4b_Minus_BR3	LFQ intensity RPT4b_Plus_BR1	LFQ intensity RPT4b_Plus_BR2	LFQ intensity RPT4b_Plus_BR3
	0.869124654308334	-1.6475944519043	AT1G01050.1;AT4G01480.1	AT1G01050.1;AT4G01480.1	AT1G01050.1 | Symbols: AtPPa1, PPa1 | pyrophosphorylase 1 | chr1:31382-32670 REVERSE LENGTH=212;AT4G01480.1 | Symbols: AtPPa5, PPa5 | pyrophosphorylase 5 | chr4:626539-627758 FORWARD LENGTH=216	Color [DarkGray]	1	4								1	1	1	8	8	8	24.484	0	3.5989	38838000	7	22.70629	22.04383	21.57911	18.85538	18.84288	18.88814	18.84761	21.98579	19.00057	19.33759	18.868	18.93188	18.85615	20.98426	21.54604	18.96189	18.10172	20.5752	22.3713	21.02351	20.0967	20.26406	20.21211	20.198
	1.2069260521324	0.270575205485027	AT1G01090.1	AT1G01090.1	AT1G01090.1 | Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428	Color [DarkGray]	1	4								9	9	9	28.7	28.7	28.7	47.173	0	57.191	988900000	144	24.48679	24.58471	24.42413	23.9954	22.98308	24.26052	24.51504	25.49353	24.7604	24.5715	19.42009	23.92515	24.88853	24.83612	24.5827	24.69929	18.71555	24.31569	25.13542	24.59799	24.80047	24.19979	18.61266	24.04879
	1.21122001786791	0.446858723958332	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4;AT1G01100.2;AT1G01100.1;AT1G01100.3	AT1G01100.4 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.2 | Symbols:  | 60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112;AT1G01100.1 | Symbols:  | 60S acidic ribosomal protein f	Color [DarkGray]	1	4								3	3	2	77.7	77.7	49.1	11.162	0	66.567	327510000	78	22.54377	22.85404	22.34158	21.07898	20.88237	22.93581	23.82765	23.82749	23.91006	19.85797	19.21525	19.43935	23.19005	22.88567	23.00424	19.46947	18.4878	22.50004	24.21679	22.27632	22.91071	22.79672	20.51422	23.02098
	1.0988591840554	-1.36727460225423	AT1G01300.1	AT1G01300.1	AT1G01300.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485	Color [DarkGray]	1	4								3	2	2	8.5	6.8	6.8	52.175	0	4.5369	26490000	2	20.719	19.22727	20.98461	20.15894	19.18253	21.34527	21.46199	21.43726	19.54421	19.66489	20.14272	20.66822	19.35531	18.78227	18.69147	19.28114	20.83098	21.88054	20.35481	20.2975	18.82687	18.94535	21.40681	21.49116
	1.27649525859364	-0.236645380655926	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2;AT1G01320.1;AT4G28080.1;AT1G15290.1	AT1G01320.2 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1787;AT1G01320.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:121582-130099 REVERSE LENGTH=1797;AT4G28080.	Color [DarkGray]	1	4								2	2	2	2.6	2.6	2.6	197.5	0	6.8759	718040000	15	19.43066	19.59538	19.32416	19.17916	19.05651	19.24575	26.7005	26.90474	26.60046	20.53909	20.145	24.78177	19.1701	19.2861	19.18407	20.13383	19.51899	19.09218	19.13367	19.04367	21.04519	21.24906	20.8331	18.91015
	0.399885589548825	-0.882762273152672	AT1G02140.1	AT1G02140.1	AT1G02140.1 | Symbols: MEE63, MAGO, HAP1 | mago nashi family protein | chr1:403467-404401 REVERSE LENGTH=150	Color [DarkGray]	1	4								2	2	2	17.3	17.3	17.3	17.458	0	5.1011	32137000	7	21.91583	19.4588	21.41233	19.05902	19.62708	21.11661	19.39746	19.31042	22.20391	20.54125	18.50527	19.25106	20.00865	19.09916	21.03086	20.13594	19.52154	21.68294	21.26694	21.23404	21.50538	20.77605	21.02256	21.57649
	3.46770457196004	2.32994778951009	AT1G02150.1	AT1G02150.1	AT1G02150.1 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:408779-410433 FORWARD LENGTH=524	Color [DarkGray]	1	4								3	3	3	10.7	10.7	10.7	59.882	0	7.7901	30871000	4	19.7875	20.07721	19.68195	19.60294	19.62849	19.11307	19.19345	19.82607	19.3425	18.99569	19.59871	20.10358	22.26868	22.41307	21.85476	18.62841	17.69842	21.15099	22.58298	20.7843	21.85346	20.93225	18.06586	21.15996
	0.568449418903156	-0.653921127319336	AT1G02305.1	AT1G02305.1	AT1G02305.1 | Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362	Color [DarkGray]	1	4								2	2	2	5.8	5.8	5.8	40.033	0	4.0231	28539000	7	22.02678	21.33821	21.33612	19.60428	18.61973	21.12683	20.11716	19.63475	20.25577	20.02632	18.39924	20.10568	20.01072	21.48748	21.24115	19.63368	18.91414	21.32665	20.82893	20.93282	21.0594	21.95177	18.88346	20.69801
	0.0705796251778348	0.297513961791992	AT1G02475.1	AT1G02475.1	AT1G02475.1 | Symbols:  | Polyketide cyclase/dehydrase and lipid transport superfamily protein | chr1:514110-515331 REVERSE LENGTH=219	Color [DarkGray]	1	4								3	3	3	15.1	15.1	15.1	25.037	0	6.7103	75653000	10	19.6551	20.73248	23.59203	18.64265	20.89215	20.78804	20.11944	20.50101	22.0036	18.89575	19.62835	18.59846	21.93849	19.94555	22.98811	18.53093	17.58054	18.58518	21.88774	18.61503	22.14243	18.49453	18.26137	20.85056
	0.363416070276269	-0.797508239746094	AT1G02500.2;AT1G02500.1	AT1G02500.2;AT1G02500.1	AT1G02500.2 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393;AT1G02500.1 | Symbols: SAM1, SAM-1, MAT1, AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393	Color [DarkGray]	1	4								9	2	2	31.6	8.9	8.9	43.158	0	14.195	102270000	14	22.21969	21.73138	23.15601	20.52162	21.35434	19.71383	22.38277	23.53326	20.25802	22.33355	19.70192	19.60353	22.25905	19.94764	22.50786	22.1845	18.9471	19.34326	22.9715	19.25595	20.58971	19.16861	19.51366	18.46988
